Date,VALE3.SA,PETR4.SA,PGCO34.SA,AAPL34.SA,AMZO34.SA,VALE3.SA_Peso,PETR4.SA_Peso,PGCO34.SA_Peso,AAPL34.SA_Peso,AMZO34.SA_Peso
2019-08-07,29.27836227416992,8.592100143432617,28.658700942993164,9.474431037902832,17.811599731445312,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2019-08-08,29.719301223754883,8.843822479248047,28.658700942993164,9.553996086120604,17.811599731445312,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2019-08-09,28.65474319458008,8.820327758789062,29.28374671936035,9.587712287902832,17.811599731445312,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2019-08-12,28.446870803833008,8.608881950378418,29.134296417236328,9.62643814086914,17.953500747680664,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2019-08-13,29.290952682495117,8.723891258239746,29.386343002319336,10.01735496520996,18.06425094604492,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2019-08-14,28.270496368408203,8.42959976196289,29.737180709838867,9.849127769470217,17.850000381469727,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2019-08-15,27.64688491821289,8.196194648742676,29.682729721069336,9.722050666809082,17.690000534057617,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2019-08-16,27.520896911621097,8.087950706481934,29.682729721069336,9.9701566696167,18.007400512695312,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2019-08-19,27.495702743530273,8.12854290008545,31.055688858032227,10.312658309936523,18.49839973449707,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2019-08-20,27.615385055541992,8.125161170959473,30.31979751586914,10.250934600830078,18.25950050354004,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2019-08-21,27.81066513061523,8.608881950378418,30.239377975463867,10.282401084899902,18.260000228881836,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
