Date,VALE3.SA,PETR4.SA,PGCO34.SA,AAPL34.SA,AMZO34.SA,VALE3.SA_Quantidade_Proporcional,PETR4.SA_Quantidade_Proporcional,PGCO34.SA_Quantidade_Proporcional,AAPL34.SA_Quantidade_Proporcional,AMZO34.SA_Quantidade_Proporcional,Retorno_Log_6M,Retorno_Log_5Y
2014-12-30,11.980080604553224,3.212515115737915,13.345973014831545,3.3571951389312744,2.052500009536743,0.0083471892469566,0.0544104882475197,0.0224668918199866,0.0825794035816414,0.0721694417174613,,
2015-01-02,11.63560676574707,2.9979207515716553,13.231528282165527,3.283607006072998,2.0873000621795654,0.0085943090045274,0.0583052490157391,0.0226612168724932,0.0844300708846664,0.0709662125236921,,
2015-01-05,11.460637092590332,2.741687774658203,13.231528282165527,3.2334325313568115,2.0607500076293945,0.0087255184150847,0.0637543478019222,0.0226612168724932,0.0857402062951959,0.0718805188717438,,
2015-01-06,11.919936180114746,2.652006149291992,13.250513076782228,3.902419328689575,1.9811999797821045,0.0083893066614587,0.0659102981327936,0.0226287488053629,0.0710418714467636,0.0747666976201171,,
2015-01-07,12.357367515563965,2.7769203186035156,13.250513076782228,3.2724568843841553,2.018399953842163,0.0080923384267766,0.0629454560791069,0.0226287488053629,0.0847177463523109,0.0733887154185568,,
2015-01-08,12.488593101501465,2.956282377243042,13.198984146118164,3.338240623474121,2.017849922180176,0.0080073070831315,0.0591264614285075,0.0227170916062404,0.0830482890689919,0.0734087199375595,,
2015-01-09,12.22066879272461,3.045963764190674,12.97931671142578,3.311481475830078,2.017849922180176,0.00818285821309,0.0573856189639475,0.0231015652536414,0.0837193788652062,0.0734087199375595,,
2015-01-12,12.379237174987791,2.831369638442993,12.97931671142578,3.282491683959961,1.9428999423980713,0.0080780421754944,0.0617349686796666,0.0231015652536414,0.0844587584592681,0.0762405600931361,,
2015-01-13,12.308154106140137,2.911442279815674,12.97931671142578,3.253502130508423,1.955549955368042,0.0081246951523066,0.0600370878590468,0.0231015652536414,0.0852113080487847,0.0757473770520337,,
2015-01-14,11.318473815917969,2.853790044784546,12.71897315979004,3.1999833583831787,1.885849952697754,0.008835113428399,0.0612499564462647,0.0235744291767678,0.0866364418908122,0.0785469594765217,,
2015-01-15,11.449698448181152,2.981905937194824,12.71897315979004,3.165418863296509,1.905500054359436,0.008733854472463,0.0586183869080297,0.0235744291767678,0.087582460411389,0.0777369591118413,,
2015-01-16,11.963680267333984,3.023543357849121,12.71897315979004,3.1163597106933594,1.8976000547409055,0.0083586319397922,0.0578111491260975,0.0235744291767678,0.0889612233558392,0.0780605899769411,,
2015-01-19,11.837920188903809,2.9370651245117188,12.71897315979004,3.1163597106933594,1.8976000547409055,0.0084474298191108,0.0595133265827384,0.0235744291767678,0.0889612233558392,0.0780605899769411,,
2015-01-20,11.887128829956056,2.981905937194824,13.063931465148926,3.1665332317352295,1.895449995994568,0.0084124603535881,0.0586183869080297,0.0229519369997141,0.0875516383348386,0.0781491361557265,,
2015-01-21,12.073037147521973,3.170877456665039,13.163951873779297,3.1665332317352295,1.895449995994568,0.0082829199295991,0.0551249672491843,0.0227775469579104,0.0875516383348386,0.0781491361557265,,
2015-01-22,11.980080604553224,3.2765729427337646,13.163951873779297,3.2211670875549316,1.9881000518798828,0.0083471892469566,0.0533467494863703,0.0227775469579104,0.0860666847588367,0.074507205848763,,
2015-01-23,11.220051765441896,3.196500301361084,13.163951873779297,3.2969861030578613,2.0316998958587646,0.0089126148515645,0.054683090714995,0.0227775469579104,0.0840874555167226,0.0729082971925535,,
2015-01-26,10.706071853637695,3.1484570503234863,12.763882637023926,3.312596082687378,2.0316998958587646,0.0093404940081755,0.0555175164075616,0.0234914829980443,0.0836912093596454,0.0729082971925535,,
2015-01-27,10.388934135437012,3.2477469444274902,12.244672775268556,3.223397016525269,1.975350022315979,0.0096256265268731,0.0538202387503592,0.024487590437067,0.0860071442825191,0.0749881176196206,,
2015-01-28,10.328787803649902,2.9178483486175537,12.17143440246582,3.223397016525269,1.975350022315979,0.0096816782279778,0.0599052778163241,0.0246349380066441,0.0860071442825191,0.0749881176196206,,
2015-01-29,9.869487762451172,2.7769203186035156,12.17143440246582,3.456427574157715,1.975350022315979,0.0101322381066678,0.0629454560791069,0.0246349380066441,0.0802085871415052,0.0749881176196206,,
2015-01-30,10.17569065093994,2.65841293334961,12.17143440246582,3.6069493293762207,2.398250102996826,0.0098273427750835,0.0657514540939264,0.0246349380066441,0.0768613991946693,0.0617649425421694,,
2015-02-02,10.793556213378906,2.8153553009033203,12.432682991027832,3.509946346282959,2.435849905014038,0.0092647870658279,0.062086130263471,0.0241172828240747,0.0789855869374536,0.0608115383088422,,
2015-02-03,11.411425590515137,3.1932976245880127,12.55128002166748,3.5188663005828857,2.435849905014038,0.0087631470062002,0.0547379344173685,0.0238893986461188,0.0787853668194803,0.0608115383088422,,
2015-02-04,11.236454010009766,3.209312438964844,12.952988624572754,3.707297801971435,2.5204999446868896,0.008899604796221,0.0544647862350905,0.0231485212136956,0.0747809286140176,0.0587692057385671,,
2015-02-05,11.181775093078612,3.1484570503234863,12.952988624572754,3.633742570877075,2.5204999446868896,0.0089431238929048,0.0555175164075616,0.0231485212136956,0.0762946650382045,0.0587692057385671,,
