ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-05-21,61.38746131978504,56.63611169535597,67.03095450191755,61.38746131978504,61.38746131978504,0.3837332333090201,0.3837332333090201,0.3837332333090201,-0.13062925737064404,-0.13062925737064404,-0.13062925737064404,0.5143624906796642,0.5143624906796642,0.5143624906796642,0.0,0.0,0.0,61.77119455309406
2024-05-22,61.37497898058424,56.96243709200015,66.7001837594168,61.37497898058424,61.37497898058424,0.3964404222488403,0.3964404222488403,0.3964404222488403,-0.14118522419780422,-0.14118522419780422,-0.14118522419780422,0.5376256464466445,0.5376256464466445,0.5376256464466445,0.0,0.0,0.0,61.771419402833075
2024-05-23,61.36249664138344,56.54381859517388,66.65323142110715,61.36249664138344,61.36249664138344,0.34613602547831174,0.34613602547831174,0.34613602547831174,-0.21174490207007227,-0.21174490207007227,-0.21174490207007227,0.557880927548384,0.557880927548384,0.557880927548384,0.0,0.0,0.0,61.708632666861746
2024-05-24,61.35001430218262,56.47390603111472,66.4995847456399,61.35001430218262,61.35001430218262,0.39011669696120294,0.39011669696120294,0.39011669696120294,-0.18467580949326756,-0.18467580949326756,-0.18467580949326756,0.5747925064544706,0.5747925064544706,0.5747925064544706,0.0,0.0,0.0,61.74013099914382
2024-05-27,61.31256728458021,56.42094863697624,66.60371626009882,61.31256728458021,61.31256728458021,0.4591437122684237,0.4591437122684237,0.4591437122684237,-0.1437471503181067,-0.1437471503181067,-0.1437471503181067,0.6028908625865304,0.6028908625865304,0.6028908625865304,0.0,0.0,0.0,61.77171099684863
2024-05-28,61.30008494537941,56.77170542389321,66.96267307371332,61.30008494537941,61.30008494537941,0.47347370964346164,0.47347370964346164,0.47347370964346164,-0.13062925737067665,-0.13062925737067665,-0.13062925737067665,0.6041029670141382,0.6041029670141382,0.6041029670141382,0.0,0.0,0.0,61.773558655022875
2024-05-29,61.28760260617861,56.902167291631045,66.99526478226565,61.28760260617861,61.28760260617861,0.4598649256514779,0.4598649256514779,0.4598649256514779,-0.141185224197852,-0.141185224197852,-0.141185224197852,0.6010501498493299,0.6010501498493299,0.6010501498493299,0.0,0.0,0.0,61.74746753183009
2024-05-31,61.26263792777699,56.336186991222704,66.95483034174632,61.26263792777699,61.26263792777699,0.39731760661334337,0.39731760661334337,0.39731760661334337,-0.18467580949321227,-0.18467580949321227,-0.18467580949321227,0.5819934161065556,0.5819934161065556,0.5819934161065556,0.0,0.0,0.0,61.659955534390335
2024-06-03,61.22519091017458,56.712947615296784,66.803841292772,61.22519091017458,61.22519091017458,0.37765910740268743,0.37765910740268743,0.37765910740268743,-0.14374715031811797,-0.14374715031811797,-0.14374715031811797,0.5214062577208053,0.5214062577208053,0.5214062577208053,0.0,0.0,0.0,61.60285001757727
2024-06-04,61.212708570973774,56.704890192828856,66.52715920194113,61.212708570973774,61.212708570973774,0.3623788944382602,0.3623788944382602,0.3623788944382602,-0.13062925737032766,-0.13062925737032766,-0.13062925737032766,0.4930081518085878,0.4930081518085878,0.4930081518085878,0.0,0.0,0.0,61.57508746541203
2024-06-05,61.200226231772966,56.408823581318956,66.48558208084805,61.200226231772966,61.200226231772966,0.31955046562443457,0.31955046562443457,0.31955046562443457,-0.14118522419788648,-0.14118522419788648,-0.14118522419788648,0.46073568982232105,0.46073568982232105,0.46073568982232105,0.0,0.0,0.0,61.519776697397404
2024-06-06,61.187743892572165,56.24970786637098,66.38879643525398,61.187743892572165,61.187743892572165,0.21302337877431232,0.21302337877431232,0.21302337877431232,-0.21174490207042213,-0.21174490207042213,-0.21174490207042213,0.4247682808447345,0.4247682808447345,0.4247682808447345,0.0,0.0,0.0,61.400767271346474
2024-06-07,61.175261553371364,56.43042040077455,66.25002058372293,61.175261553371364,61.175261553371364,0.20063794781362884,0.20063794781362884,0.20063794781362884,-0.1846758094946286,-0.1846758094946286,-0.1846758094946286,0.3853137573082575,0.3853137573082575,0.3853137573082575,0.0,0.0,0.0,61.37589950118499
2024-06-10,61.137814535768946,56.11438863510489,66.32295353451501,61.137814535768946,61.137814535768946,0.10478940638640794,0.10478940638640794,0.10478940638640794,-0.14374715031847968,-0.14374715031847968,-0.14374715031847968,0.24853655670488758,0.24853655670488758,0.24853655670488758,0.0,0.0,0.0,61.242603942155355
2024-06-11,61.125332196568145,55.98997306670813,65.98349150781137,61.125332196568145,61.125332196568145,0.06715977089184835,0.06715977089184835,0.06715977089184835,-0.13062925737036024,-0.13062925737036024,-0.13062925737036024,0.1977890282622086,0.1977890282622086,0.1977890282622086,0.0,0.0,0.0,61.19249196745999
2024-06-12,61.11284985736734,56.18718029988278,66.4538436199876,61.11284985736734,61.11284985736734,0.003844544652311388,0.003844544652311388,0.003844544652311388,-0.14118522419769272,-0.14118522419769272,-0.14118522419769272,0.14502976885000413,0.14502976885000413,0.14502976885000413,0.0,0.0,0.0,61.11669440201965
2024-06-13,61.100367518166536,55.64301036320785,66.31158274702486,61.100367518166536,61.100367518166536,-0.12110182337700774,-0.12110182337700774,-0.12110182337700774,-0.21174490207059715,-0.21174490207059715,-0.21174490207059715,0.09064307869358942,0.09064307869358942,0.09064307869358942,0.0,0.0,0.0,60.979265694789525
2024-06-14,61.087885178965735,55.75907897339219,66.19485471603039,61.087885178965735,61.087885178965735,-0.1496333907132612,-0.1496333907132612,-0.1496333907132612,-0.18467580949457335,-0.18467580949457335,-0.18467580949457335,0.035042418781312146,0.035042418781312146,0.035042418781312146,0.0,0.0,0.0,60.93825178825247
2024-06-17,61.05043816136332,55.25763693848931,65.49924578161844,61.05043816136332,61.05043816136332,-0.27825171125121834,-0.27825171125121834,-0.27825171125121834,-0.14374715031884142,-0.14374715031884142,-0.14374715031884142,-0.13450456093237695,-0.13450456093237695,-0.13450456093237695,0.0,0.0,0.0,60.7721864501121
2024-06-18,61.037955822162516,55.49661602382289,65.69753744908571,61.037955822162516,61.037955822162516,-0.3209356052236269,-0.3209356052236269,-0.3209356052236269,-0.13062925737083417,-0.13062925737083417,-0.13062925737083417,-0.1903063478527928,-0.1903063478527928,-0.1903063478527928,0.0,0.0,0.0,60.71702021693889
