Date,VALE3.SA,PETR4.SA,PGCO34.SA,AAPL34.SA,AMZO34.SA,VALE3.SA_Quantidade_Proporcional,PETR4.SA_Quantidade_Proporcional,PGCO34.SA_Quantidade_Proporcional,AAPL34.SA_Quantidade_Proporcional,AMZO34.SA_Quantidade_Proporcional
2022-02-23,68.52362060546875,14.534921646118164,52.155574798583984,39.317604064941406,36.133548736572266,0.0014593507919810529,0.012025831318913206,0.005749002539318616,0.0070511715775513064,0.004099452862857741
2022-02-24,69.3715591430664,14.182376861572266,51.637325286865234,41.1285514831543,38.9202995300293,0.0014415129375104276,0.01232476880680348,0.005806701456571203,0.006740698669966103,0.0038059259975391914
2022-02-25,73.12779235839844,14.441473960876465,54.62437438964844,41.74040985107422,39.3755989074707,0.001367469149210757,0.012103647897948284,0.005489171003000134,0.006641889077497779,0.00376191814025327
2022-03-02,78.96818542480469,14.726052284240724,52.5230712890625,41.720680236816406,38.688724517822266,0.0012663327574523326,0.011869747069749028,0.0057087775828357,0.006645030011650779,0.00382870672681687
2022-03-03,79.00782012939453,14.543414115905762,52.05192565917969,41.000247955322266,36.93424987792969,0.0012656974947065453,0.01201880896444178,0.005760450322625139,0.0067617925770164155,0.00401058043152152
2022-03-04,80.80667877197266,14.539166450500488,52.60787582397461,40.600555419921875,36.59669876098633,0.001237521471241118,0.012022320299099422,0.0056995749640215716,0.0068283591052573835,0.00404757218077991
2022-03-07,83.26331329345703,13.507024765014648,52.19327163696289,39.929473876953125,35.12089920043945,0.0012010091364915475,0.012941008030323822,0.005744850294924511,0.006943121092315414,0.004217653396855437
2022-03-08,79.61007690429688,13.787359237670898,49.83755111694336,39.24852752685547,34.21422576904297,0.0012561223891319041,0.01267788217719388,0.006016397781124992,0.0070635814831635346,0.0043294207740739495
2022-03-09,77.51101684570312,13.829837799072266,50.129661560058594,40.45745849609375,34.748023986816406,0.001290139183686165,0.012638941865360336,0.005981339642547766,0.006852510824596117,0.0042629123276060644
2022-03-10,80.07029724121094,14.314050674438477,48.461814880371094,39.07581329345703,36.84397506713867,0.0012489025699349043,0.012211394239506162,0.006187191558897419,0.007094802357614695,0.0040204071233743395
2022-03-11,79.6506118774414,13.800104141235352,48.80104446411133,38.69586944580078,37.01274871826172,0.0012554831361982538,0.012666173686874085,0.0061441826757865385,0.00716446422449401,0.004002074553848688
2022-03-14,75.37964630126953,13.53675937652588,49.73390197753906,37.92116165161133,36.266998291015625,0.0013266180581470285,0.01291258203591539,0.006028936400206381,0.007310830159348518,0.004084368345699191
2022-03-15,73.21536254882812,13.209702491760254,52.06135177612305,39.6827507019043,38.00970077514648,0.0013658335698783016,0.013232282563431536,0.005759407347816859,0.006986289190553179,0.0038971046020495814
2022-03-16,74.99287414550781,13.09501838684082,51.07194900512695,39.90974426269531,38.80255126953125,0.001333460027228336,0.013348168806352213,0.005870982756631847,0.006946553464620157,0.0038174752681704354
2022-03-17,77.60154724121094,12.746724128723145,50.6102294921875,39.67288589477539,39.363826751708984,0.0012886341001574024,0.013712897069448594,0.005924544009486598,0.006988026356727436,0.00376304318042249
2022-03-18,79.07456970214844,13.00157356262207,50.06370162963867,40.511741638183594,40.4000244140625,0.0012646290757783668,0.01344410467763303,0.005989220177422295,0.006843328898474897,0.003666526987587422
